o;9,493851%
i;9,299308%
n;8,656367%
s;8,621790%
c;4,742799%
h;4,428632%
u;3,620191%
p;3,228922%
f;2,553431%
in;2,288285%
y;2,204201%
b;2,073379%
th;2,052341%
er;1,959285%
w;1,844198%
re;1,809122%
he;1,689227%
es;1,465180%
v;1,432342%
te;1,360256%
at;1,354180%
ti;1,293394%
ar;1,159047%
al;1,080456%
nd;1,074919%
k;1,015101%
se;0,948021%
co;0,855147%
ne;0,783245%
li;0,744709%
ra;0,727891%
as;0,676647%
ce;0,644004%
ca;0,605257%
ta;0,601616%
si;0,586634%
la;0,555992%
ho;0,548373%
pr;0,529055%
ac;0,505229%
ge;0,478164%
be;0,442575%
pa;0,414847%
na;0,414623%
ts;0,412896%
no;0,409369%
po;0,395514%
ni;0,367889%
am;0,361777%
mo;0,351224%
ag;0,297156%
os;0,291915%
ir;0,284718%
ba;0,233395%
fr;0,228638%
fe;0,216141%
cl;0,200105%
sc;0,189676%
ga;0,188893%
rn;0,177892%
cr;0,169927%
cu;0,163389%
ds;0,149900%
bi;0,149356%
og;0,145785%
au;0,145137%
lu;0,143662%
ru;0,137356%
br;0,132538%
pu;0,120969%
pt;0,102270%
rg;0,097915%
tl;0,079065%
fl;0,067156%
cs;0,058087%
sm;0,054541%
pm;0,049062%
tc;0,048812%
dy;0,043593%
tm;0,040893%
eu;0,038565%
rf;0,034719%
rb;0,030983%
lv;0,025132%
xe;0,024808%
sb;0,019970%
pd;0,019755%
hs;0,017455%
sn;0,017132%
cd;0,017073%
db;0,015434%
mc;0,013477%
sr;0,012922%
nh;0,012366%
tb;0,011020%
rh;0,010907%
lr;0,010747%
nb;0,009716%
yb;0,009303%
mn;0,008816%
np;0,007905%
mt;0,007016%
kr;0,006994%
sg;0,006180%
cn;0,006053%
md;0,005840%
cm;0,005811%
gd;0,005688%
pb;0,003432%
mg;0,003336%
cf;0,002669%
fm;0,002494%
hf;0,002232%
bh;0,002231%
hg;0,000996%
zr;0,000886%
bk;0,000604%
zn;0,000486%
